"MGS"	"meanTE"	"stdevTE"	"robustDA"	"comparison"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp900541315;MGS.991"	1.450303193211	0.0793463275818391	"variable"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000433355;MGS.487"	8.56888978122472e-11	1.56759313004063e-15	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;Ligilactobacillus salivarius;MGS.106"	-2.25274103749858e-15	2.17693743832894e-15	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA3818;UBA3818 sp904397845;MGS.665"	5.90414006016735e-09	1.33619580391335e-08	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp000432135;MGS.1361"	2.8608980311432	0.0362376694200106	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia sp900541955;MGS.892"	-0.237128628821634	0.0175593523811991	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp900549635;MGS.1392"	1.75057149757294	0.058323587218813	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A sp905209435;MGS.986"	8.03119655281699e-06	5.45695746478644e-06	"non-sig"	"IBD-HC"
"Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium dentium;MGS.498"	-0.459887349539651	0.0319758587648435	"robust"	"IBD-HC"
"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia_A;Slackia_A isoflavoniconvertens;MGS.203"	9.15815950526056e-16	9.17589367034731e-17	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Schaedlerella;Schaedlerella glycyrrhizinilytica_A;MGS.360"	9.4636475091412e-16	4.05292461120602e-16	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter torques;MGS.209"	0.177953328074991	0.0506482114115509	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Erysipelatoclostridium;Erysipelatoclostridium ramosum;MGS.711"	-2.04403406068939	0.0370413865760696	"robust"	"IBD-HC"
"Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UMGS1590;UMGS1590 sp900552455;MGS.86"	3.33714165845115e-15	2.44204125484677e-15	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia sp000432195;MGS.910"	8.94588451197917e-16	4.49264223760766e-17	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio_A;Butyrivibrio_A crossotus;MGS.73"	2.32654243515143e-15	9.97124604003482e-16	"non-sig"	"IBD-HC"
"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;Senegalimassilia anaerobia;MGS.950"	2.04271877568733e-15	2.12456100757311e-15	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A luti;MGS.1527"	1.28617653634722	0.109631497333698	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis;MGS.6"	3.98616906471745	0.0811750315556604	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella;Angelakisella sp900547385;MGS.284"	1.93969466871575	0.0440608153967508	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Clostridium_Q;Clostridium_Q saccharolyticum_A;MGS.218"	-0.185349858962597	0.00143977519504064	"robust"	"IBD-HC"
